DateTime,fdom,
5/3/2022 15:45,13.13341024,0.355197032
5/3/2022 16:00,13.13917808,0.355353024
5/3/2022 16:15,13.34494593,0.360918078
5/3/2022 16:30,13.31571377,0.360127485
5/3/2022 16:45,13.17148161,0.356226683
5/3/2022 17:00,13.35224946,0.361115604
5/3/2022 17:15,13.2580173,0.358567067
5/3/2022 17:30,13.36878515,0.361562817
5/3/2022 17:45,13.54955299,0.366451737
5/3/2022 18:00,13.57032084,0.36701341
5/3/2022 18:15,13.66108868,0.369468254
5/3/2022 18:30,13.68185652,0.370029926
5/3/2022 18:45,13.71262437,0.370862052
5/3/2022 19:00,13.18839221,0.356684035
5/3/2022 19:15,13.64416006,0.369010414
5/3/2022 19:30,13.7349279,0.371465258
5/3/2022 19:45,13.78569575,0.372838289
5/3/2022 20:00,13.69146359,0.370289752
5/3/2022 20:15,13.48223143,0.364631006
5/3/2022 20:30,13.39299928,0.362217695
5/3/2022 20:45,13.39876712,0.362373688
5/3/2022 21:00,13.30453497,0.359825151
5/3/2022 21:15,13.25530281,0.358493653
5/3/2022 21:30,13.20607066,0.357162154
5/3/2022 21:45,13.2618385,0.358670412
5/3/2022 22:00,13.30760634,0.359908217
5/3/2022 22:15,13.26337419,0.358711946
5/3/2022 22:30,13.39914203,0.362383828
5/3/2022 22:45,13.43990988,0.363486406
5/3/2022 23:00,13.39067772,0.362154908
5/3/2022 23:15,13.40644557,0.362581354
5/3/2022 23:30,13.40721341,0.362602121
5/3/2022 23:45,13.37298125,0.361676302
5/4/2022 0:00,13.3337491,0.360615256
5/4/2022 0:15,13.40951694,0.36266442
5/4/2022 0:30,13.37528479,0.361738601
5/4/2022 0:45,13.38105263,0.361894594
5/4/2022 1:00,13.35682048,0.361239229
5/4/2022 1:15,13.31258832,0.360042957
5/4/2022 1:30,13.20835616,0.357223966
5/4/2022 1:45,13.38412401,0.361977661
5/4/2022 2:00,13.23989185,0.358076859
5/4/2022 2:15,13.2206597,0.357556719
5/4/2022 2:30,13.30142754,0.35974111
5/4/2022 2:45,13.16719539,0.356110761
5/4/2022 3:00,13.33296323,0.360594002
5/4/2022 3:15,13.31873107,0.360209089
5/4/2022 3:30,13.29449892,0.359553723
5/4/2022 3:45,13.23026676,0.357816545
5/4/2022 4:00,13.12103461,0.354862329
5/4/2022 4:15,13.21180245,0.357317172
5/4/2022 4:30,13.3375703,0.360718602
5/4/2022 4:45,13.34333814,0.360874595
5/4/2022 5:00,13.29910598,0.359678323
5/4/2022 5:15,13.19487383,0.356859333
5/4/2022 5:30,13.18064167,0.35647442
5/4/2022 5:45,13.17640952,0.35635996
5/4/2022 6:00,13.34217736,0.360843201
5/4/2022 6:15,13.35794521,0.361269647
5/4/2022 6:30,13.36371305,0.36142564
5/4/2022 6:45,13.36948089,0.361581633
5/4/2022 7:00,13.43524874,0.363360345
5/4/2022 7:15,13.51101658,0.365409509
5/4/2022 7:30,13.49678443,0.365024596
5/4/2022 7:45,13.46255227,0.364098777
5/4/2022 8:00,13.44832012,0.363713864
5/4/2022 8:15,13.40408796,0.362517592
5/4/2022 8:30,13.3298558,0.360509961
5/4/2022 8:45,13.30562365,0.359854595
5/4/2022 9:00,13.28139149,0.359199229
5/4/2022 9:15,13.24215934,0.358138184
5/4/2022 9:30,12.92292718,0.349504454
5/4/2022 9:45,13.15869503,0.355880866
5/4/2022 10:00,13.10446287,0.354414141
5/4/2022 10:15,13.06523071,0.353353096
5/4/2022 10:30,13.02099856,0.352156824
5/4/2022 10:45,12.9617664,0.350554872
5/4/2022 11:00,12.84753425,0.347465429
5/4/2022 11:15,12.74330209,0.344646439
5/4/2022 11:30,12.84406994,0.347371736
5/4/2022 11:45,12.83983778,0.347257276
5/4/2022 12:00,12.92060562,0.349441667
5/4/2022 12:15,12.84637347,0.347434036
5/4/2022 12:30,12.75214131,0.344885499
5/4/2022 12:45,12.80790916,0.346393757
5/4/2022 13:00,12.928677,0.349659959
5/4/2022 13:15,12.94444484,0.350086405
5/4/2022 13:30,12.97521269,0.350918531
5/4/2022 13:45,12.91598053,0.34931658
5/4/2022 14:00,12.93174838,0.349743026
5/4/2022 14:15,12.72251622,0.344084279
5/4/2022 14:30,12.64328407,0.341941422
5/4/2022 14:45,12.76405191,0.345207624
5/4/2022 15:00,12.99981975,0.351584037
5/4/2022 15:15,12.9305876,0.349711632
5/4/2022 15:30,12.79135544,0.345946057
5/4/2022 15:45,12.88712329,0.348536127
5/4/2022 16:00,12.86289113,0.347880761
5/4/2022 16:15,12.77865898,0.345602677
5/4/2022 16:30,12.91442682,0.349274559
5/4/2022 16:45,12.90519466,0.349024872
5/4/2022 17:00,12.79596251,0.346070656
5/4/2022 17:15,12.77173035,0.34541529
5/4/2022 17:30,12.7974982,0.346112189
5/4/2022 17:45,13.09326604,0.35411132
5/4/2022 18:00,13.11903389,0.354808219
5/4/2022 18:15,13.12480173,0.354964212
5/4/2022 18:30,13.18056957,0.35647247
5/4/2022 18:45,13.19633742,0.356898916
5/4/2022 19:00,13.19210526,0.356784456
5/4/2022 19:15,13.19787311,0.356940449
5/4/2022 19:30,13.20364095,0.357096442
5/4/2022 19:45,13.3094088,0.359956966
5/4/2022 20:00,13.23517664,0.357949334
5/4/2022 20:15,13.18094448,0.356482609
5/4/2022 20:30,13.01671233,0.352040901
5/4/2022 20:45,12.94248017,0.35003327
5/4/2022 21:00,12.92324802,0.349513131
